damage,xcentroid,ycentroid
1,-95.144348,29.568155
.99700689,-95.144791,29.634205
.99865592,-95.14463,29.644264
1.195122,-95.144714,29.730392
1.8504571,-95.122574,29.504786
.95004582,-95.122551,29.682426
1,-95.122772,29.783163
1.1842105,-95.123055,29.399014
.99909419,-95.123299,29.719145
.99933201,-95.123383,29.48457
2.2724352,-95.123497,29.728085
1,-95.123878,29.598904
1,-95.14492,29.810137
.99819982,-95.144943,29.655149
1,-95.145126,30.003517
1.1780273,-95.145378,29.543135
1,-95.145538,29.644917
1,-95.145714,29.632519
1,-95.14579,29.789709
1,-95.146271,29.572866
.9879154,-95.146263,29.583963
1,-95.124275,29.538759
1,-95.124466,30.104229
1,-95.124344,29.480066
1.9436619,-95.124664,30.071672
1,-95.125267,29.675133
.99920511,-95.125511,29.58148
.99947411,-95.146629,29.656466
1,-95.147102,29.648949
1,-95.147453,29.807024
1,-95.147438,30.046211
1,-95.126198,30.060236
1,-95.126595,29.787313
1,-95.126747,29.705919
1,-95.127068,29.481871
1,-95.14782,29.561092
1.1750439,-95.148315,29.586435
1,-95.14817,30.009022
1,-95.148285,29.562922
2.1528716,-95.148529,30.01428
1,-95.127266,29.672737
1,-95.127754,29.413284
1,-95.127884,29.475874
1.8339757,-95.127892,29.741495
1.6779661,-95.128212,29.584181
.99024391,-95.128136,29.474703
1,-95.128357,29.66139
1.0763637,-95.149239,30.009069
1.0931507,-95.149734,30.058203
.99980783,-95.150307,29.801992
.99461401,-95.128883,29.47551
1,-95.128838,29.55278
1,-95.128777,29.562954
.99813867,-95.12883,29.694078
1.1278098,-95.127663,29.812412
1,-95.129196,29.484314
1.0339087,-95.129486,29.5569
1,-95.129578,29.580498
1,-95.129761,29.557734
1.0756458,-95.151466,30.012989
1.4630262,-95.151527,29.662462
1,-95.152145,29.792332
1.1122307,-95.130821,29.562969
1,-95.131134,29.485926
1,-95.131096,29.72365
1.7351599,-95.131248,29.666822
.98905611,-95.152634,30.005697
1,-95.153076,29.980341
1,-95.153519,29.668827
1.737069,-95.15361,29.390011
1,-95.131805,29.873112
.99912202,-95.132019,29.602755
1,-95.13208,29.790302
1,-95.155342,29.691069
1,-95.155464,29.791765
1.7869034,-95.155457,29.704727
1,-95.155579,29.707436
1.8339223,-95.155441,29.513273
1,-95.133072,29.600878
1,-95.133102,29.673388
1,-95.133102,29.497694
.99278414,-95.133415,29.585985
1,-95.133911,29.5853
.99746132,-95.134354,29.605568
1,-95.155663,29.78326
1,-95.156281,29.803352
1,-95.156548,29.701132
1.0022898,-95.156548,29.986319
.99482375,-95.156837,29.678249
.99482375,-95.157158,29.678453
1.7726098,-95.134888,29.602604
.99007124,-95.135513,29.635895
1.6520237,-95.15731,29.990061
1.9511952,-95.157654,29.964521
1,-95.15786,29.639181
1.9906843,-95.157913,30.068441
1.9904917,-95.158005,30.065247
1.3104708,-95.158943,29.554937
1.022949,-95.135719,29.724308
1,-95.135963,30.061712
1.0741104,-95.136414,29.641533
1,-95.136917,29.590162
1,-95.158974,29.501047
.9980396,-95.15905,29.797523
1,-95.159203,30.005447
1,-95.15963,29.673914
1,-95.160049,29.478214
1,-95.13765,29.64694
1,-95.137993,29.546694
1,-95.137886,29.859858
1,-95.138,29.637058
1,-95.138344,29.496685
1,-95.138191,29.57683
1.0332898,-95.138428,29.576414
.999044,-95.160545,29.511187
3,-95.160698,30.022854
.99942559,-95.161156,29.476746
1,-95.161469,29.6642
1,-95.161499,29.779947
1.1589571,-95.161644,29.486656
1.1900001,-95.138733,29.481693
1.1047807,-95.138771,29.876812
2.5840795,-95.139107,29.880743
2.5860856,-95.139267,30.004431
2.7130332,-95.139709,29.988077
1,-95.139847,29.800039
1,-95.139992,29.798304
1.7118615,-95.162094,29.834209
1,-95.162422,29.529297
1,-95.162735,29.704245
1,-95.140259,29.602688
1,-95.140381,29.372021
1,-95.140617,29.69091
